ID,Action,Source,Destination,Protocol,Port
555,deny,198.51.100.0/24,DNS,tcp,3389
556,deny,192.168.10.0/24,INTERNAL,tcp,110
557,deny,192.168.10.0/24,APP,tcp,3389
558,deny,192.168.10.0/24,MAIL,tcp,21
559,deny,172.16.5.0/24,DMZ,tcp,110
560,deny,172.16.5.0/24,DNS,tcp,443
561,deny,192.168.1.0/24,INTERNAL,tcp,110
562,deny,192.168.10.0/24,DNS,tcp,25
563,deny,203.0.113.0/24,DMZ,tcp,143
564,permit,192.168.1.0/24,DATABASE,udp,53
565,deny,172.16.0.0/16,DNS,tcp,143
566,deny,172.16.0.0/16,APP,tcp,8080
567,deny,192.168.20.0/24,DMZ,tcp,110
568,permit,192.168.20.0/24,DNS,tcp,3389
569,permit,172.16.5.0/24,MAIL,tcp,143
570,deny,172.16.5.0/24,ANY,tcp,3306
571,permit,192.168.20.0/24,INTERNAL,udp,53
572,permit,10.0.0.0/8,WEB,tcp,80
573,deny,10.1.0.0/16,DNS,udp,123
574,deny,172.16.0.0/16,APP,tcp,3306
575,deny,10.1.0.0/16,DNS,tcp,143
576,deny,172.16.5.0/24,DATABASE,tcp,110
577,deny,192.168.20.0/24,APP,tcp,3389
578,deny,192.168.1.0/24,DNS,tcp,3389
579,permit,172.16.5.0/24,DNS,udp,123
580,deny,10.0.0.0/8,DATABASE,tcp,3389
581,deny,203.0.113.0/24,DATABASE,udp,123
582,deny,203.0.113.0/24,DMZ,tcp,3389
583,permit,192.168.1.0/24,MAIL,tcp,23
584,deny,192.168.20.0/24,APP,udp,123
585,deny,192.168.10.0/24,INTERNAL,tcp,143
586,deny,192.168.1.0/24,MAIL,udp,53
587,deny,10.0.0.0/8,WEB,tcp,3306
588,permit,203.0.113.0/24,DNS,udp,161
589,permit,10.0.0.0/8,ANY,tcp,110
590,deny,ANY,ANY,tcp,25
591,deny,10.0.0.0/8,WEB,tcp,80
592,permit,198.51.100.0/24,ANY,tcp,143
593,deny,172.16.0.0/16,DMZ,tcp,80
594,deny,10.1.0.0/16,MAIL,tcp,23
595,deny,192.168.1.0/24,DATABASE,tcp,443
596,deny,172.16.0.0/16,WEB,udp,123
597,deny,10.0.0.0/8,DATABASE,tcp,110
598,deny,192.168.10.0/24,DATABASE,tcp,110
599,deny,192.168.20.0/24,DATABASE,udp,123
600,deny,10.0.0.0/8,APP,udp,53
601,deny,203.0.113.0/24,MAIL,udp,53
602,permit,192.168.20.0/24,INTERNAL,tcp,21
603,deny,172.16.5.0/24,WEB,tcp,22
604,deny,198.51.100.0/24,ANY,udp,161
605,permit,172.16.0.0/16,APP,udp,161
606,deny,192.168.1.0/24,DNS,tcp,8080
607,permit,198.51.100.0/24,DMZ,tcp,3306
608,deny,10.1.0.0/16,ANY,tcp,25
609,permit,192.168.1.0/24,WEB,tcp,443
610,permit,ANY,DNS,tcp,110
611,permit,192.168.1.0/24,MAIL,udp,123
612,deny,192.168.1.0/24,INTERNAL,udp,161
613,deny,172.16.5.0/24,DMZ,tcp,8080
614,permit,10.0.0.0/8,WEB,tcp,8080
615,deny,172.16.5.0/24,MAIL,tcp,21
616,deny,203.0.113.0/24,INTERNAL,tcp,22
617,deny,ANY,DATABASE,udp,161
618,permit,192.168.10.0/24,ANY,tcp,110
619,permit,192.168.1.0/24,INTERNAL,udp,123
620,deny,172.16.0.0/16,DATABASE,tcp,8080
621,deny,172.16.5.0/24,ANY,tcp,110
622,permit,203.0.113.0/24,DMZ,tcp,21
623,permit,172.16.0.0/16,WEB,tcp,110
624,deny,192.168.10.0/24,DATABASE,tcp,22
625,permit,172.16.5.0/24,MAIL,tcp,3389
626,deny,ANY,ANY,tcp,443
627,deny,198.51.100.0/24,APP,tcp,143
628,deny,ANY,WEB,tcp,443
629,permit,ANY,ANY,udp,161
630,permit,198.51.100.0/24,MAIL,udp,161
631,permit,192.168.1.0/24,INTERNAL,udp,53
632,permit,172.16.0.0/16,INTERNAL,tcp,23
633,deny,ANY,APP,udp,161
634,permit,172.16.0.0/16,MAIL,udp,161
635,permit,198.51.100.0/24,DATABASE,tcp,22
636,deny,198.51.100.0/24,DMZ,udp,53
637,permit,192.168.1.0/24,ANY,udp,123
638,permit,203.0.113.0/24,DMZ,tcp,25
639,permit,198.51.100.0/24,ANY,udp,53
640,permit,192.168.20.0/24,WEB,tcp,25
641,permit,198.51.100.0/24,ANY,tcp,21
642,permit,ANY,DATABASE,tcp,80
643,permit,203.0.113.0/24,WEB,tcp,23
644,deny,192.168.20.0/24,WEB,udp,123
645,deny,172.16.5.0/24,DMZ,tcp,23
646,deny,172.16.5.0/24,INTERNAL,tcp,80
647,permit,10.0.0.0/8,MAIL,tcp,143
648,permit,172.16.0.0/16,DMZ,tcp,3389
649,permit,10.1.0.0/16,APP,tcp,25
650,deny,192.168.20.0/24,DMZ,tcp,143
651,deny,172.16.5.0/24,DATABASE,tcp,21
652,deny,192.168.10.0/24,APP,tcp,22
653,permit,203.0.113.0/24,DMZ,tcp,443
654,deny,192.168.1.0/24,DATABASE,tcp,110
655,permit,203.0.113.0/24,DNS,tcp,143
656,deny,192.168.10.0/24,ANY,tcp,22
657,deny,10.1.0.0/16,DMZ,tcp,3389
658,deny,203.0.113.0/24,APP,tcp,143
659,deny,172.16.5.0/24,MAIL,udp,123
660,deny,10.1.0.0/16,ANY,tcp,23
661,deny,192.168.10.0/24,WEB,tcp,143
662,permit,192.168.10.0/24,WEB,tcp,3306
663,permit,192.168.1.0/24,APP,tcp,3306
664,permit,10.0.0.0/8,DNS,tcp,3389
665,permit,10.1.0.0/16,WEB,tcp,143
666,permit,203.0.113.0/24,DATABASE,tcp,21
667,deny,198.51.100.0/24,INTERNAL,udp,161
668,deny,10.0.0.0/8,MAIL,tcp,445
669,deny,192.168.1.0/24,DNS,tcp,80
670,permit,192.168.10.0/24,DMZ,tcp,8080
671,permit,192.168.1.0/24,DMZ,tcp,23
672,deny,192.168.20.0/24,DATABASE,tcp,21
673,deny,203.0.113.0/24,DATABASE,tcp,23
674,permit,192.168.1.0/24,APP,tcp,110
675,permit,198.51.100.0/24,APP,tcp,110
676,permit,ANY,APP,tcp,21
677,deny,192.168.20.0/24,DNS,tcp,23
678,deny,192.168.1.0/24,APP,tcp,143
679,deny,10.0.0.0/8,ANY,udp,53
680,deny,10.0.0.0/8,DMZ,udp,53
681,deny,198.51.100.0/24,DMZ,tcp,443
682,deny,10.1.0.0/16,INTERNAL,tcp,110
683,permit,172.16.0.0/16,WEB,tcp,443
684,permit,198.51.100.0/24,DNS,udp,161
685,permit,172.16.0.0/16,APP,tcp,25
686,permit,172.16.0.0/16,MAIL,tcp,25
687,deny,192.168.10.0/24,DNS,tcp,3306
688,permit,198.51.100.0/24,DATABASE,tcp,80
689,permit,172.16.5.0/24,MAIL,tcp,445
690,deny,172.16.5.0/24,INTERNAL,tcp,25
691,deny,198.51.100.0/24,DATABASE,tcp,80
692,deny,203.0.113.0/24,DATABASE,tcp,8080
693,permit,192.168.20.0/24,WEB,tcp,22
694,permit,172.16.5.0/24,ANY,tcp,22
695,deny,192.168.10.0/24,DATABASE,tcp,3389
696,permit,10.1.0.0/16,WEB,udp,123
697,deny,192.168.10.0/24,DMZ,tcp,110
698,deny,ANY,ANY,tcp,23
699,deny,192.168.10.0/24,DATABASE,tcp,3306
700,permit,192.168.10.0/24,DNS,tcp,143
701,permit,10.1.0.0/16,MAIL,udp,123
702,deny,172.16.5.0/24,ANY,udp,53
703,permit,172.16.5.0/24,DMZ,tcp,143
704,permit,172.16.5.0/24,DNS,tcp,21
705,permit,172.16.0.0/16,DMZ,tcp,21
706,permit,192.168.20.0/24,WEB,tcp,21
707,permit,172.16.5.0/24,MAIL,udp,123
708,deny,10.0.0.0/8,ANY,udp,161
709,deny,ANY,INTERNAL,udp,53
710,permit,192.168.1.0/24,DATABASE,tcp,443
711,permit,192.168.1.0/24,MAIL,tcp,80
712,permit,203.0.113.0/24,DATABASE,udp,53
713,deny,ANY,APP,tcp,80
714,deny,192.168.20.0/24,INTERNAL,tcp,25
715,permit,198.51.100.0/24,APP,tcp,25
716,permit,203.0.113.0/24,ANY,tcp,23
717,permit,172.16.0.0/16,INTERNAL,tcp,3389
718,deny,192.168.10.0/24,ANY,tcp,110
719,permit,172.16.5.0/24,ANY,tcp,23
720,deny,172.16.5.0/24,DATABASE,tcp,22
721,permit,203.0.113.0/24,APP,tcp,3306
722,permit,172.16.0.0/16,ANY,tcp,443
723,deny,172.16.0.0/16,INTERNAL,tcp,25
724,permit,192.168.20.0/24,DMZ,udp,53
725,permit,198.51.100.0/24,DMZ,tcp,8080
726,deny,192.168.1.0/24,DNS,tcp,143
727,deny,10.1.0.0/16,DNS,tcp,110
728,deny,198.51.100.0/24,APP,tcp,23
729,permit,172.16.0.0/16,WEB,tcp,3306
730,permit,172.16.0.0/16,INTERNAL,udp,123
731,permit,192.168.1.0/24,DNS,tcp,21
732,deny,10.1.0.0/16,MAIL,tcp,22
733,deny,192.168.20.0/24,DATABASE,tcp,25
734,permit,192.168.10.0/24,DNS,tcp,23
735,deny,ANY,WEB,tcp,143
736,permit,203.0.113.0/24,INTERNAL,tcp,3306
737,deny,10.0.0.0/8,DMZ,tcp,3306
738,permit,192.168.20.0/24,INTERNAL,tcp,8080
739,permit,192.168.1.0/24,MAIL,tcp,21
740,permit,10.0.0.0/8,DMZ,tcp,8080
741,deny,192.168.1.0/24,MAIL,tcp,3306
742,permit,203.0.113.0/24,ANY,tcp,3306
743,deny,198.51.100.0/24,MAIL,tcp,8080
744,deny,10.1.0.0/16,APP,tcp,22
745,deny,172.16.5.0/24,MAIL,tcp,3306
746,permit,192.168.20.0/24,ANY,udp,53
747,deny,ANY,APP,tcp,23
748,permit,192.168.1.0/24,DMZ,tcp,3306
749,deny,172.16.5.0/24,INTERNAL,tcp,143
750,deny,10.1.0.0/16,MAIL,udp,53
751,deny,203.0.113.0/24,DNS,tcp,110
752,permit,203.0.113.0/24,ANY,tcp,443
753,permit,192.168.10.0/24,DMZ,tcp,443
754,permit,172.16.0.0/16,DNS,tcp,25
755,deny,203.0.113.0/24,MAIL,tcp,3306
756,deny,192.168.1.0/24,WEB,udp,123
757,permit,192.168.10.0/24,WEB,tcp,110
758,permit,203.0.113.0/24,WEB,tcp,3306
759,deny,172.16.5.0/24,DMZ,udp,161
760,permit,192.168.10.0/24,ANY,tcp,443
761,deny,192.168.1.0/24,APP,tcp,3389
762,permit,192.168.1.0/24,DATABASE,tcp,3389
763,deny,ANY,INTERNAL,udp,161
764,permit,203.0.113.0/24,ANY,udp,123
765,permit,192.168.10.0/24,DMZ,tcp,21
766,deny,10.1.0.0/16,DATABASE,tcp,110
767,deny,10.1.0.0/16,DMZ,udp,123
768,permit,172.16.0.0/16,DMZ,tcp,80
769,deny,10.1.0.0/16,APP,tcp,23
770,deny,172.16.0.0/16,MAIL,tcp,445
771,permit,192.168.1.0/24,APP,tcp,445
772,permit,203.0.113.0/24,DNS,tcp,443
773,permit,192.168.10.0/24,ANY,tcp,22
774,permit,198.51.100.0/24,ANY,tcp,8080
775,deny,192.168.20.0/24,DATABASE,tcp,110
776,permit,172.16.5.0/24,ANY,udp,53
777,permit,192.168.20.0/24,DNS,tcp,3306
778,permit,172.16.5.0/24,DNS,tcp,23
779,deny,198.51.100.0/24,DNS,udp,53
780,permit,192.168.20.0/24,DMZ,tcp,21
781,permit,10.0.0.0/8,ANY,tcp,25
782,permit,10.1.0.0/16,INTERNAL,tcp,443
783,deny,192.168.20.0/24,INTERNAL,tcp,21
784,deny,ANY,DMZ,tcp,445
785,deny,203.0.113.0/24,INTERNAL,tcp,143
786,deny,192.168.10.0/24,ANY,tcp,23
787,deny,198.51.100.0/24,MAIL,tcp,443
788,deny,203.0.113.0/24,ANY,tcp,8080
789,deny,10.1.0.0/16,MAIL,tcp,21
790,deny,203.0.113.0/24,INTERNAL,tcp,3306
791,permit,10.0.0.0/8,DMZ,udp,123
792,deny,10.0.0.0/8,APP,tcp,445
793,permit,203.0.113.0/24,ANY,tcp,21
794,deny,192.168.20.0/24,DNS,tcp,445
795,deny,172.16.0.0/16,WEB,tcp,80
796,deny,198.51.100.0/24,ANY,tcp,25
797,permit,192.168.1.0/24,MAIL,tcp,110
798,permit,203.0.113.0/24,MAIL,tcp,443
799,permit,203.0.113.0/24,ANY,tcp,22
800,deny,10.1.0.0/16,WEB,tcp,143
801,permit,192.168.10.0/24,DNS,tcp,3389
802,deny,198.51.100.0/24,INTERNAL,tcp,3389
803,deny,ANY,MAIL,tcp,25
804,permit,172.16.0.0/16,APP,tcp,22
805,deny,172.16.5.0/24,DNS,tcp,80
806,deny,198.51.100.0/24,DNS,tcp,443
807,permit,192.168.10.0/24,APP,tcp,110
808,permit,192.168.10.0/24,INTERNAL,udp,161
809,deny,172.16.5.0/24,WEB,tcp,21
810,permit,172.16.5.0/24,DNS,tcp,8080
811,permit,198.51.100.0/24,INTERNAL,tcp,25
812,deny,172.16.5.0/24,WEB,udp,161
813,permit,172.16.5.0/24,APP,tcp,3389
814,permit,198.51.100.0/24,MAIL,tcp,22
815,permit,ANY,MAIL,udp,53
816,permit,192.168.1.0/24,DATABASE,tcp,143
817,deny,10.0.0.0/8,INTERNAL,udp,123
818,permit,10.1.0.0/16,ANY,tcp,445
819,permit,10.1.0.0/16,APP,tcp,3389
820,deny,10.1.0.0/16,WEB,tcp,3306
821,permit,198.51.100.0/24,DNS,udp,53
822,permit,192.168.1.0/24,DATABASE,tcp,8080
823,permit,ANY,DATABASE,tcp,110
824,deny,10.0.0.0/8,WEB,tcp,22
825,permit,192.168.10.0/24,ANY,tcp,3306
826,permit,198.51.100.0/24,WEB,tcp,143
827,permit,ANY,DMZ,tcp,80
828,deny,10.1.0.0/16,WEB,tcp,110
829,permit,10.1.0.0/16,DATABASE,udp,53
830,permit,198.51.100.0/24,DNS,tcp,3389
831,permit,ANY,APP,tcp,445
832,permit,172.16.5.0/24,APP,tcp,80
833,permit,10.1.0.0/16,WEB,tcp,3306
834,deny,10.0.0.0/8,DMZ,tcp,443
835,deny,192.168.20.0/24,INTERNAL,tcp,3306
836,permit,172.16.0.0/16,DNS,tcp,3306
837,deny,203.0.113.0/24,DATABASE,tcp,3389
838,deny,192.168.10.0/24,WEB,tcp,445
839,deny,192.168.20.0/24,WEB,tcp,8080
840,permit,10.0.0.0/8,DNS,tcp,22
841,permit,172.16.5.0/24,WEB,udp,53
842,deny,198.51.100.0/24,DMZ,tcp,143
843,permit,ANY,APP,tcp,80
844,permit,192.168.10.0/24,ANY,tcp,445
845,deny,ANY,DATABASE,udp,123
846,permit,198.51.100.0/24,WEB,tcp,443
847,deny,172.16.0.0/16,INTERNAL,tcp,25
848,permit,203.0.113.0/24,DNS,tcp,23
849,deny,192.168.1.0/24,APP,tcp,80
850,permit,172.16.5.0/24,ANY,tcp,110
851,deny,172.16.5.0/24,DMZ,tcp,8080
852,deny,192.168.10.0/24,ANY,tcp,22
853,deny,10.1.0.0/16,INTERNAL,tcp,3306
854,deny,192.168.20.0/24,DNS,tcp,25
855,permit,192.168.20.0/24,DMZ,udp,53
856,deny,192.168.20.0/24,DMZ,tcp,25
857,permit,172.16.5.0/24,INTERNAL,tcp,3306
858,permit,172.16.5.0/24,ANY,tcp,3306
859,permit,172.16.5.0/24,DNS,udp,123
860,permit,203.0.113.0/24,DATABASE,tcp,25
861,deny,10.1.0.0/16,DMZ,tcp,3389
862,deny,192.168.20.0/24,ANY,tcp,23
863,permit,172.16.0.0/16,MAIL,tcp,25
864,deny,172.16.0.0/16,APP,udp,53
865,deny,203.0.113.0/24,WEB,tcp,22
866,permit,10.1.0.0/16,DATABASE,tcp,443
867,permit,172.16.5.0/24,DMZ,tcp,22
868,permit,172.16.5.0/24,DATABASE,tcp,21
869,permit,172.16.5.0/24,DNS,tcp,110
870,permit,10.0.0.0/8,DMZ,tcp,143
871,permit,192.168.1.0/24,MAIL,tcp,21
872,permit,172.16.0.0/16,DATABASE,udp,53
873,deny,172.16.0.0/16,APP,tcp,110
874,permit,10.1.0.0/16,DATABASE,tcp,21
875,permit,10.1.0.0/16,MAIL,tcp,23
876,deny,203.0.113.0/24,DNS,tcp,8080
877,deny,192.168.1.0/24,WEB,tcp,3306
878,deny,192.168.20.0/24,DMZ,tcp,110
879,deny,192.168.20.0/24,DMZ,tcp,22
880,permit,203.0.113.0/24,DMZ,udp,161
881,permit,192.168.20.0/24,INTERNAL,udp,161
882,deny,198.51.100.0/24,DNS,tcp,443
883,deny,172.16.5.0/24,DATABASE,tcp,80
884,deny,10.1.0.0/16,DNS,tcp,110
885,permit,203.0.113.0/24,WEB,tcp,3306
886,permit,192.168.1.0/24,APP,tcp,3306
887,permit,192.168.20.0/24,DMZ,tcp,21
888,permit,192.168.10.0/24,DATABASE,tcp,3306
889,permit,198.51.100.0/24,WEB,tcp,8080
890,deny,172.16.0.0/16,MAIL,tcp,21
891,deny,192.168.10.0/24,WEB,tcp,22
892,permit,192.168.20.0/24,WEB,tcp,445
893,permit,198.51.100.0/24,ANY,tcp,8080
894,permit,192.168.20.0/24,APP,tcp,8080
895,deny,198.51.100.0/24,INTERNAL,tcp,80
896,permit,172.16.5.0/24,ANY,tcp,22
897,deny,10.1.0.0/16,DMZ,udp,123
898,deny,ANY,DMZ,tcp,22
899,deny,198.51.100.0/24,ANY,udp,161
900,deny,192.168.1.0/24,DNS,tcp,8080
901,permit,ANY,MAIL,tcp,143
902,permit,192.168.20.0/24,DNS,tcp,3306
903,deny,192.168.1.0/24,DNS,tcp,80
904,deny,192.168.20.0/24,WEB,tcp,143
905,permit,172.16.5.0/24,DATABASE,tcp,143
906,deny,203.0.113.0/24,APP,tcp,8080
907,deny,192.168.20.0/24,DATABASE,tcp,8080
908,permit,172.16.5.0/24,INTERNAL,tcp,3306
909,permit,192.168.10.0/24,INTERNAL,tcp,21
910,deny,192.168.20.0/24,ANY,udp,161
911,permit,10.0.0.0/8,ANY,tcp,3389
912,permit,198.51.100.0/24,MAIL,tcp,3389
913,permit,192.168.10.0/24,MAIL,tcp,21
914,permit,172.16.0.0/16,DNS,tcp,22
915,permit,ANY,MAIL,tcp,143
916,deny,10.0.0.0/8,MAIL,tcp,443
917,permit,ANY,DMZ,tcp,80
918,permit,198.51.100.0/24,DATABASE,tcp,21
919,permit,172.16.5.0/24,ANY,tcp,22
920,permit,10.1.0.0/16,ANY,tcp,8080
921,deny,198.51.100.0/24,WEB,udp,123
922,deny,ANY,WEB,tcp,143
923,deny,10.0.0.0/8,DMZ,tcp,143
924,permit,10.1.0.0/16,APP,tcp,3389
925,deny,192.168.10.0/24,ANY,tcp,443
926,permit,192.168.1.0/24,DMZ,tcp,21
927,deny,203.0.113.0/24,WEB,tcp,8080
928,permit,172.16.0.0/16,DATABASE,tcp,445
929,deny,172.16.0.0/16,MAIL,udp,161
930,deny,203.0.113.0/24,DATABASE,tcp,80
931,deny,172.16.0.0/16,DMZ,tcp,80
932,permit,172.16.5.0/24,APP,tcp,3306
933,deny,192.168.1.0/24,MAIL,tcp,110
934,permit,ANY,INTERNAL,udp,123
935,permit,198.51.100.0/24,MAIL,udp,123
936,permit,203.0.113.0/24,MAIL,tcp,22
937,permit,192.168.20.0/24,DMZ,tcp,21
938,permit,192.168.20.0/24,WEB,udp,123
939,permit,172.16.0.0/16,WEB,tcp,3389
940,deny,192.168.20.0/24,WEB,tcp,8080
941,deny,198.51.100.0/24,INTERNAL,tcp,8080
942,deny,10.0.0.0/8,DNS,tcp,443
943,deny,ANY,APP,tcp,80
944,permit,192.168.1.0/24,DNS,tcp,22
945,permit,203.0.113.0/24,MAIL,udp,161
946,permit,198.51.100.0/24,DATABASE,tcp,445
947,permit,192.168.20.0/24,WEB,udp,123
948,deny,192.168.1.0/24,WEB,tcp,23
949,deny,198.51.100.0/24,DATABASE,tcp,21
950,permit,ANY,DMZ,udp,123
951,deny,ANY,MAIL,tcp,8080
952,deny,172.16.0.0/16,DNS,tcp,25
953,deny,198.51.100.0/24,ANY,udp,161
954,deny,172.16.0.0/16,WEB,tcp,80
955,deny,192.168.1.0/24,DNS,tcp,21
956,deny,172.16.0.0/16,WEB,tcp,22
957,permit,192.168.20.0/24,DMZ,tcp,110
958,permit,192.168.10.0/24,WEB,tcp,22
959,deny,172.16.0.0/16,ANY,udp,161
960,deny,10.1.0.0/16,DMZ,tcp,25
961,deny,10.1.0.0/16,DATABASE,udp,123
962,deny,192.168.1.0/24,WEB,tcp,25
963,permit,172.16.5.0/24,APP,tcp,8080
964,permit,192.168.10.0/24,DMZ,tcp,80
965,permit,10.1.0.0/16,DMZ,udp,161
966,deny,10.1.0.0/16,DMZ,tcp,3306
967,deny,10.1.0.0/16,WEB,tcp,8080
968,permit,192.168.10.0/24,INTERNAL,tcp,143
969,deny,10.1.0.0/16,DMZ,tcp,80
970,deny,203.0.113.0/24,WEB,tcp,143
971,permit,10.0.0.0/8,WEB,tcp,80
972,permit,10.1.0.0/16,WEB,tcp,80
973,permit,172.16.0.0/16,WEB,tcp,443
974,permit,172.16.5.0/24,WEB,tcp,443
975,deny,203.0.113.0/24,DMZ,tcp,23
976,deny,203.0.113.128/25,DMZ,tcp,23
977,deny,198.51.100.0/24,DMZ,tcp,21
978,deny,198.51.100.128/25,DMZ,tcp,21
979,permit,192.168.10.0/24,DMZ,udp,53
980,permit,192.168.10.128/25,DMZ,udp,53
981,permit,10.0.0.0/8,DATABASE,tcp,3306
982,permit,10.2.2.0/24,DATABASE,tcp,3306
983,deny,172.16.0.0/16,MAIL,tcp,25
984,deny,172.16.10.0/24,MAIL,tcp,25
985,permit,192.168.1.0/24,WEB,tcp,8080
986,permit,192.168.1.128/25,WEB,tcp,8080
987,deny,10.0.0.0/8,APP,tcp,23
988,deny,10.10.10.0/24,APP,tcp,23
989,permit,172.16.0.0/16,DNS,udp,53
990,permit,172.16.20.0/24,DNS,udp,53
991,deny,198.51.100.0/24,WEB,tcp,445
992,deny,198.51.100.64/26,WEB,tcp,445
993,permit,10.0.0.0/8,MAIL,tcp,110
994,permit,10.20.0.0/16,MAIL,tcp,110
995,permit,10.0.0.0/8,MAIL,tcp,143
996,permit,10.30.0.0/16,MAIL,tcp,143
997,deny,203.0.113.0/24,APP,tcp,21
998,deny,203.0.113.64/26,APP,tcp,21
999,permit,192.168.20.0/24,WEB,tcp,443
1000,permit,192.168.20.128/25,WEB,tcp,443
